project,receiver_id,station_name,latitude,longitude,H/U
BPNS,VR2W-123828,bpns-A1BIS,51.361333,2.967,huidig
BPNS,VR2C-450114,bpns-B05BELWIND,51.671667,2.796965,verleden
BPNS,VR2W-127110,bpns-BelwindReefballs,51.70442,2.81259,huidig
BPNS,VR2W-123834,bpns-BIRKENFELS,51.649333,2.533833333,huidig
BPNS,VR2W-123821,bpns-buitenratel,51.1937,2.4653,huidig
BPNS,VR2AR-545718,bpns-C05AR1Belwind,51.671118,2.800503,huidig
BPNS,VR2AR-545719,bpns-C05AR2Belwind,51.668632,2.80547,huidig
BPNS,VR2AR-545720,bpns-C05AR3Belwind,51.667386,2.79966,huidig
BPNS,VR2C-450116,bpns-C05BELWIND,51.669075,2.8019683,verleden
BPNS,VR2W-123822,bpns-D1,51.2325,2.643166667,huidig
BPNS,VR2W-123833,bpns-GARDENCITY,51.485333,2.298666667,huidig
BPNS,VR2W-110778,bpns-KB2,51.350667,2.703666667,huidig
BPNS,VR2Tx-480061,bpns-Kilmore,51.3955,2.4965,huidig
BPNS,VR2W-129569,bpns-middelkerkebank,51.3033,2.7125,huidig
BPNS,VR2W-123835,bpns-NHSE,51.757,2.665333333,huidig
BPNS,VR2W-129570,bpns-nieuwpoortbank,51.1695,2.6015,huidig
BPNS,VR2W-123812,bpns-NIEUWPOORTKUST8,51.160167,2.691833333,huidig
Schelde,VR2W-112295,s-8,51.14319,4.33078,huidig
Schelde,VR2W-113521,s-4,51.04231,4.0945,huidig
Schelde,VR2W-113526,s-1,51.02811,3.78691,huidig
Schelde,VR2W-113528,s-9,51.19069,4.32954,huidig
Schelde,VR2W-115430,s-5,51.09258,4.17083,huidig
Schelde,VR2W-115441,s-6,51.12287,4.2184,huidig
Schelde,VR2W-115442,s-7,51.11414,4.24123,huidig
Schelde,VR2W-122325,s-3,51.0434,4.04783,huidig
Schelde,VR2W-122337,s-2,51.00588,3.77876,huidig
Schelde,VR2W-122322,s-2a,51.02032,3.96965,huidig
Schelde,VR2W-122363,s-4a,51.03203,4.18166,huidig
Schelde,VR2W-122367,s-4b,51.05593,4.20024,huidig
Schelde,VR2W-122339,s-4c,51.07363,4.19007,huidig
Westerschelde,VR2W-120874,ws-11,51.4116308,3.7074635,huidig
Westerschelde,VR2W-124071,ws-12A,51.3648799,3.765539,huidig
Westerschelde,VR2W-120876,ws-13,51.4071859,3.7080883,huidig
Westerschelde,VR2W-127736,ws-14,51.3601518,3.7798113,huidig
Westerschelde,VR2W-120878,ws-15,51.386465,3.7080085,huidig
Westerschelde,VR2W-120886,ws-15A,51.3805457,3.717259,huidig
Westerschelde,VR2W-122346,ws-16,51.3544901,3.795027,huidig
Westerschelde,VR2W-115447,ws-18,51.3482621,3.8147323,huidig
Westerschelde,VR2W-115434,ws-23,51.3552573,3.7609896,huidig
Westerschelde,VR2W-120877,ws-25,51.351926,3.773559,huidig
Westerschelde,VR2W-122338,ws-25A,51.352186,3.781008,huidig
Westerschelde,VR2W-126202,ws-25B,51.3465544,3.800172,huidig
Westerschelde,VR2W-122329,ws-2C,51.4169613,3.7188079,huidig
Westerschelde,VR2W-120883,ws-6,51.3913098,3.7161726,huidig
Westerschelde,VR2W-120882,ws-4,51.3970414,3.7153436,huidig
Westerschelde,VR2W-122343,ws-A1,51.3724995,3.7229828,huidig
Westerschelde,VR2W-120881,ws-A3,51.3655375,3.734487,huidig
Westerschelde,VR2W-120884,ws-A5,51.3584544,3.7454284,huidig
Westerschelde,VR2W-123830,ws-DL12,51.466175,3.502181,huidig
Westerschelde,VR2W-123820,ws-DL7,51.471342,3.475013,huidig
Westerschelde,VR2W-123821,ws-DL9,51.465842,3.48868,huidig
Westerschelde,VR2W-123818,ws-GVWSP,51.447341,3.470514,huidig
Westerschelde,VR2W-123832,ws-OG10,51.474675,3.510681,huidig
Westerschelde,VR2W-123831,ws-OGDL,51.46395,3.51263,huidig
Westerschelde,VR2W-120887,ws-PPB,51.3536136,3.7376409,huidig
