"animal_project_code","station_name","latitude","longitude"
"2011_Loire","19V_Mindin",47.27488333,-2.17811667
"2011_Loire","114R",47.34346667,-1.2504
"2011_Loire","40R",47.27866667,-1.89916667
"2011_Loire","31V",47.2942,-2.02758334
"2011_Loire","71V",47.3278,-1.32295
"2011_Loire","72R",47.3278,-1.3257
"2011_Loire","33V",47.27776666,-1.90511666
"2011_Loire","30R",47.29393334,-2.01663334
"2011_Loire","99V",47.34226667,-1.25106667
"2011_Loire","74R",47.32935,-1.32191667
"2011_Loire","17V_Vignettes",47.26625,-2.1881
"2011_Loire","13V",47.23221667,-1.47123333
"2011_Loire","StationGIP_Pellerin",47.203825,-1.75758889
"2011_Loire","24bisR",47.28713334,-2.17019999
"2011_Loire","23V",47.28471667,-2.16813334
"2011_Loire","38R",47.24713333,-1.43838333
"2011_Loire","25V",47.24575,-1.43885
"2011_Loire","46R",47.26436667,-1.42156667
"2011_Loire","29bisV",47.29875,-2.04523333
"2011_Loire","20R_BasseNazaire",47.26900001,-2.19073333
"2011_Loire","50R",47.20571667,-1.7579
"2011_Loire","18R",47.23335,-1.47186667
"2011_Loire","Tribord_Basse_Nazaire",47.27075,-2.19381667
"2011_Loire","27V_DongesSud",47.3007,-2.06406666
"2011_Loire","26R",47.3028,-2.05868333
"2011_Loire","28R",47.30118333,-2.04425
"2011_Loire","85V",47.34021667,-1.29455
"2011_Loire","90R",47.34115,-1.2926
"2011_Loire","2R",47.20876667,-1.52168333
"2011_Loire","rel_loire1",NA,NA
"2011_Loire","rel_loire2",NA,NA
"2011_Loire","rel_loire3",NA,NA
"2011_Loire","rel_loire4",47.364211,-1.012256
"2011_Loire","rel_loire5",NA,NA
