"animal_project_code","station_name","latitude","longitude"
"2015_fint","s-5",51.09258,4.17083
"2015_fint","s-6",51.12267069,4.21890556
"2015_fint","s-8a",51.14222,4.32646
"2015_fint","s-9a",51.19068,4.33602
"2015_fint","s-10a",51.235423,4.396673
"2015_fint","ws-55",51.40221,4.02998
"2015_fint","ws-53A",51.411167,4.029233
"2015_fint","s-4a",51.03203,4.18166
"2015_fint","s-4b",51.05593,4.20024
"2015_fint","s-Dendermonde2",51.036148,4.108625
"2015_fint","s-7",51.11414,4.24123
"2015_fint","s-9",51.19069,4.32954
"2015_fint","ws-12",51.37033,3.7511
"2015_fint","ws-15A",51.3805457,3.717259
"2015_fint","bpns-W1",51.391333,3.303666667
"2015_fint","rel_station1",51.073613,4.190026
"2015_fint","s-8",51.14319,4.33078
"2015_fint","ws-51",51.42389,4.02278
"2015_fint","s-4c",51.07363,4.19007
"2015_fint","ws-2",51.44243667,3.645828333
"2015_fint","ws-ARV3",51.41182167,3.607175
"2015_fint","ws-6",51.3913098,3.7161726
"2015_fint","ws-4",51.3970414,3.7153436
"2015_fint","ws-SS2",51.42732167,3.627138333
"2015_fint","ws-HSS",51.43213,3.623928
"2015_fint","ws-13",51.4071859,3.7080883
"2015_fint","bpns-WZ",51.376167,3.178666667
"2015_fint","ws-W7",51.410173,3.454515
"2015_fint","ws-STEEN",51.403409,3.465898
"2015_fint","ws-PVTSS",51.4018055,3.7089134
"2015_fint","ws-23",51.3552573,3.7609896
"2015_fint","ws-16",51.3544901,3.795027
"2015_fint","ws-18",51.3482621,3.8147323
"2015_fint","ws-25B",51.3805457,3.717259
"2015_fint","ws-12A",51.3648799,3.765539
"2015_fint","ws-A1",51.3724995,3.7229828
"2015_fint","ws-A3",51.3655375,3.734487
"2015_fint","bpns-WK14",51.3685,3.262
"2015_fint","ws-25",51.351926,3.773559
"2015_fint","ws-25A",51.352186,3.781008
"2015_fint","ws-A5",51.3584544,3.7454284
"2015_fint","ws-1",51.434745,3.636486667
"2015_fint","ws-14",51.3601518,3.7798113
"2015_fint","bpns-O6",51.243106,2.917725
"2015_fint","bpns-OH1",51.240014,2.917553
"2015_fint","ws-F42",51.427986,4.034873
"2015_fint","ws-HW6",51.43484,4.02702
"2015_fint","ws-F53",51.41672,4.02487
"2015_fint","ws-SS5",51.41178,3.634061667
"2015_fint","bpns-NRT4",51.37233,3.357733
"2015_fint","bpns-A1BIS",51.361333,2.967
