animal_project_code,station_name,longitude,latitude
tyne,St20,-1.81209798,54.97676301
tyne,St21,-1.816320028,54.97549399
tyne,St22,-1.81696401,54.97528402
tyne,St23,-1.83760101,54.97698898
tyne,St24,-1.914775958,54.95448902
tyne,St18,-1.729727006,54.97535099
tyne,St3,-1.415093997,55.00915596
tyne,St1,-1.412474988,55.01164899
tyne,St2,-1.417392986,55.01097802
tyne,St4,-1.43066003,55.00906996
tyne,St5,-1.429974977,55.00738503
tyne,St6,-1.440067962,55.00030501
tyne,St7,-1.446209969,54.99861396
tyne,St8,-1.443473026,54.99613199
tyne,St10,-1.52297697,54.987015
tyne,St11,-1.534249038,54.96478099
tyne,St12,-1.572771007,54.96541601
tyne,St13,-1.582011972,54.96687404
tyne,St14,-1.598361963,54.96937503
tyne,St15,-1.632577982,54.958094
tyne,St16,-1.70594302,54.96967603
tyne,St25,-1.940819034,54.94975501
tyne,St26,-1.955448976,54.95229799
tyne,St27,-2.006959962,54.96566101
tyne,St28,-2.09958896,54.97804703
tyne,St30,-2.22572797,54.97653896
tyne,St29,-2.127242032,55.029512
tyne,St9,-1.47882778,54.98822222
tyne,St18,-1.76899722,54.98136111
tyne,St19,-1.78684167,54.98465278
tyne,St0,-1.41813611,55.00487222
