"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F15","F14","F16","F17","F19","F20","F18","F23","F22","F21","F26","F25","F24","F27","F28","F29","F30","F31","F32","F33","F34","rel_fremur"
"F1",0,100.508451440372,142.294423227439,242.802874668468,242.802874668468,301.525354322046,301.525354322046,343.31132610884,443.819777549211,443.819777549211,544.328228990514,644.836680430886,745.345131871257,988.148006539736,887.639555099364,1029.9339783268,1172.22840155424,1214.01437334132,1314.74050734183,1230.9508812082,1557.76106456978,1415.46664134235,1498.60321979686,1818.37117734438,1658.48719857029,2001.58084211899,2286.38737113533,2428.68179436278,2612.97987193743,2612.97987193743,3181.93988228838,3282.44833372875,4479.96156432384,4622.25598755128,443.819777549211
"F2",100.508451440372,0,100.726134000506,142.294423228097,142.294423228097,201.016902881674,201.016902881674,242.802874668468,343.31132610884,343.31132610884,443.819777550143,544.328228990514,644.836680430886,887.639555099364,787.131103658993,929.425526886431,1071.71995011387,1113.50592190095,1214.23205590145,1130.44242976783,1457.25261312941,1314.95818990197,1398.09476835649,1717.86272590401,1557.97874712991,1901.07239067862,2185.87891969496,2328.17334292241,2512.47142049706,2512.47142049706,3081.43143084801,3181.93988228838,4379.45311288347,4521.74753611091,343.31132610884
"F3",142.294423227439,100.726134000506,0,100.508451441303,100.508451441303,242.802874668468,242.802874668468,284.588846455535,385.097297895907,385.097297895907,485.605749336936,586.114200777308,686.622652217679,929.425526886158,828.917075445786,971.211498673225,1113.50592190066,1155.29189368774,1256.01802768825,1172.22840155463,1499.0385849162,1356.74416168877,1439.88074014329,1759.64869769081,1599.76471891671,1942.85836246541,2227.66489148176,2369.95931470921,2554.25739228386,2554.25739228386,3123.2174026348,3223.72585407517,4421.23908467026,4563.5335078977,385.097297895907
"F4",242.802874668468,142.294423228097,100.508451441303,0,0,142.294423227439,142.294423227439,243.020557227945,284.588846454877,284.588846454877,385.097297895907,485.605749336278,586.11420077665,828.917075445128,728.408624004757,870.703047232196,1012.99747045963,1054.78344224671,1155.50957624722,1071.7199501136,1398.53013347517,1256.23571024774,1339.37228870226,1659.14024624978,1499.25626747568,1842.34991102438,2127.15644004073,2269.45086326818,2453.74894084283,2453.74894084283,3022.70895119377,3123.21740263414,4320.73063322923,4463.02505645667,284.588846454877
"F5",242.802874668468,142.294423228097,100.508451441303,0,0,142.294423227439,142.294423227439,243.020557227945,284.588846454877,284.588846454877,385.097297895907,485.605749336278,586.11420077665,828.917075445128,728.408624004757,870.703047232196,1012.99747045963,1054.78344224671,1155.50957624722,1071.7199501136,1398.53013347517,1256.23571024774,1339.37228870226,1659.14024624978,1499.25626747568,1842.34991102438,2127.15644004073,2269.45086326818,2453.74894084283,2453.74894084283,3022.70895119377,3123.21740263414,4320.73063322923,4463.02505645667,284.588846454877
"F6",301.525354322046,201.016902881674,242.802874668468,142.294423227439,142.294423227439,0,0,100.726134000506,142.294423227439,142.294423227439,242.802874668468,343.31132610884,443.819777549211,686.62265221769,586.114200777318,728.408624004757,870.703047232196,912.489019019273,1013.21515301978,929.425526886158,1256.23571024773,1113.9412870203,1197.07786547482,1516.84582302234,1356.96184424824,1700.05548779695,1984.86201681329,2127.15644004074,2311.45451761539,2311.45451761539,2880.41452796633,2980.92297940671,4178.43621000179,4320.73063322923,142.294423227439
"F7",301.525354322046,201.016902881674,242.802874668468,142.294423227439,142.294423227439,0,0,100.726134000506,142.294423227439,142.294423227439,242.802874668468,343.31132610884,443.819777549211,686.62265221769,586.114200777318,728.408624004757,870.703047232196,912.489019019273,1013.21515301978,929.425526886158,1256.23571024773,1113.9412870203,1197.07786547482,1516.84582302234,1356.96184424824,1700.05548779695,1984.86201681329,2127.15644004074,2311.45451761539,2311.45451761539,2880.41452796633,2980.92297940671,4178.43621000179,4320.73063322923,142.294423227439
"F8",343.31132610884,242.802874668468,284.588846455535,243.020557227945,243.020557227945,100.726134000506,100.726134000506,0,100.508451440372,100.508451440372,201.016902881674,301.525354322046,402.033805762418,644.836680430896,544.328228990524,686.622652217963,828.917075445402,870.703047232479,971.429181232985,887.639555099364,1214.44973846094,1072.15531523351,1155.29189368802,1475.05985123555,1315.17587246145,1658.26951601015,1943.07604502649,2085.37046825394,2269.66854582859,2269.66854582859,2838.62855617954,2939.13700761991,4136.650238215,4278.94466144244,100.508451440372
"F9",443.819777549211,343.31132610884,385.097297895907,284.588846454877,284.588846454877,142.294423227439,142.294423227439,100.508451440372,0,0,100.508451441303,201.016902881674,301.525354322046,544.328228990524,443.819777550153,586.114200777592,728.40862400503,770.194595792108,870.920729792614,787.131103658993,1113.94128702057,971.646863793135,1054.78344224765,1374.55139979517,1214.66742102108,1557.76106456978,1842.56759358612,1984.86201681357,2169.16009438822,2169.16009438822,2738.12010473917,2838.62855617954,4036.14178677463,4178.43621000207,0
"F10",443.819777549211,343.31132610884,385.097297895907,284.588846454877,284.588846454877,142.294423227439,142.294423227439,100.508451440372,0,0,100.508451441303,201.016902881674,301.525354322046,544.328228990524,443.819777550153,586.114200777592,728.40862400503,770.194595792108,870.920729792614,787.131103658993,1113.94128702057,971.646863793135,1054.78344224765,1374.55139979517,1214.66742102108,1557.76106456978,1842.56759358612,1984.86201681357,2169.16009438822,2169.16009438822,2738.12010473917,2838.62855617954,4036.14178677463,4178.43621000207,0
"F11",544.328228990514,443.819777550143,485.605749336936,385.097297895907,385.097297895907,242.802874668468,242.802874668468,201.016902881674,100.508451441303,100.508451441303,0,100.508451440372,201.016902880743,443.819777549222,343.31132610885,485.605749336289,627.900172563727,669.686144350805,770.412278351311,686.62265221769,1013.43283557927,871.138412351832,954.27499080635,1274.04294835387,1114.15896957977,1457.25261312848,1742.05914214482,1884.35356537227,2068.65164294692,2068.65164294692,2637.61165329787,2738.12010473824,3935.63333533332,4077.92775856076,100.508451441303
"F12",644.836680430886,544.328228990514,586.114200777308,485.605749336278,485.605749336278,343.31132610884,343.31132610884,301.525354322046,201.016902881674,201.016902881674,100.508451440372,0,100.508451440372,343.31132610885,242.802874668478,385.097297895917,527.391721123356,569.177692910433,669.903826910939,586.114200777318,912.924384138895,770.62996091146,853.766539365979,1173.5344969135,1013.6505181394,1356.74416168811,1641.55069070445,1783.8451139319,1968.14319150655,1968.14319150655,2537.10320185749,2637.61165329787,3835.12488389295,3977.41930712039,201.016902881674
"F13",745.345131871257,644.836680430886,686.622652217679,586.11420077665,586.11420077665,443.819777549211,443.819777549211,402.033805762418,301.525354322046,301.525354322046,201.016902880743,100.508451440372,0,242.802874668478,142.294423228107,284.588846455546,426.883269682984,527.609403683501,628.335537684007,485.605749336947,871.356094911962,729.061671684527,812.198250139046,1131.96620768657,972.082228912468,1315.17587246117,1599.98240147752,1742.27682470496,1926.57490227962,1926.57490227962,2495.53491263056,2596.04336407093,3793.55659466602,3935.85101789346,301.525354322046
"F15",988.148006539736,887.639555099364,929.425526886158,828.917075445128,828.917075445128,686.62265221769,686.62265221769,644.836680430896,544.328228990524,544.328228990524,443.819777549222,343.31132610885,242.802874668478,0,100.508451440372,100.726134000506,243.020557227945,343.746691228461,444.472825228967,242.802874668468,687.493382456923,545.198959229488,628.335537684007,948.103495231527,788.219516457429,1131.31316000613,1416.11968902248,1558.41411224992,1742.71218982458,1742.71218982458,2311.67220017552,2412.18065161589,3609.69388221098,3751.98830543842,544.328228990524
"F14",887.639555099364,787.131103658993,828.917075445786,728.408624004757,728.408624004757,586.114200777318,586.114200777318,544.328228990524,443.819777550153,443.819777550153,343.31132610885,242.802874668478,142.294423228107,100.508451440372,0,142.294423227439,284.588846454877,385.314980455394,486.0411144559,343.31132610884,729.061671683855,586.767248456421,669.903826910939,989.67178445846,829.787805684361,1172.88144923307,1457.68797824941,1599.98240147686,1784.28047905151,1784.28047905151,2353.24048940245,2453.74894084283,3651.26217143791,3793.55659466535,443.819777550153
"F16",1029.9339783268,929.425526886431,971.211498673225,870.703047232196,870.703047232196,728.408624004757,728.408624004757,686.622652217963,586.114200777592,586.114200777592,485.605749336289,385.097297895917,284.588846455546,100.726134000506,142.294423227439,0,142.294423227439,243.020557227955,343.746691228461,201.016902881674,586.767248456416,444.472825228982,527.609403683501,847.377361231021,687.493382456923,1030.58702600563,1315.39355502197,1457.68797824942,1641.98605582407,1641.98605582407,2210.94606617502,2311.45451761539,3508.96774821047,3651.26217143791,586.114200777592
"F17",1172.22840155424,1071.71995011387,1113.50592190066,1012.99747045963,1012.99747045963,870.703047232196,870.703047232196,828.917075445402,728.40862400503,728.40862400503,627.900172563727,527.391721123356,426.883269682984,243.020557227945,284.588846454877,142.294423227439,0,100.726134000521,201.452268001027,142.294423228097,444.472825228982,302.178402001548,385.314980456066,705.082938003587,545.198959229488,888.292602778193,1173.09913179454,1315.39355502198,1499.69163259664,1499.69163259664,2068.65164294758,2169.16009438795,3366.67332498304,3508.96774821048,728.40862400503
"F19",1214.01437334132,1113.50592190095,1155.29189368774,1054.78344224671,1054.78344224671,912.489019019273,912.489019019273,870.703047232479,770.194595792108,770.194595792108,669.686144350805,569.177692910433,527.609403683501,343.746691228461,385.314980455394,243.020557227955,100.726134000521,0,100.726134000506,243.020557228613,343.746691228461,201.452268001027,284.588846455546,604.356804003066,444.472825228967,787.566468777673,1072.37299779401,1214.66742102146,1398.96549859611,1398.96549859611,1967.92550894706,2068.43396038743,3265.94719098252,3408.24161420996,770.194595792108
"F20",1314.74050734183,1214.23205590145,1256.01802768825,1155.50957624722,1155.50957624722,1013.21515301978,1013.21515301978,971.429181232985,870.920729792614,870.920729792614,770.412278351311,669.903826910939,628.335537684007,444.472825228967,486.0411144559,343.746691228461,201.452268001027,100.726134000506,0,343.746691229119,243.020557227955,100.726134000521,242.802874668478,503.63067000256,343.746691228461,686.840334777166,971.646863793509,1113.94128702096,1298.23936459561,1298.23936459561,1867.19937494655,1967.70782638693,3165.22105698201,3307.51548020945,870.920729792614
"F18",1230.9508812082,1130.44242976783,1172.22840155463,1071.7199501136,1071.7199501136,929.425526886158,929.425526886158,887.639555099364,787.131103658993,787.131103658993,686.62265221769,586.114200777318,485.605749336947,242.802874668468,343.31132610884,201.016902881674,142.294423228097,243.020557228613,343.746691229119,0,586.767248457074,444.47282522964,527.609403684159,847.377361231679,687.49338245758,1030.58702600629,1315.39355502263,1457.68797825008,1641.98605582473,1641.98605582473,2210.94606617567,2311.45451761605,3508.96774821113,3651.26217143857,787.131103658993
"F23",1557.76106456978,1457.25261312941,1499.0385849162,1398.53013347517,1398.53013347517,1256.23571024773,1256.23571024773,1214.44973846094,1113.94128702057,1113.94128702057,1013.43283557927,912.924384138895,871.356094911962,687.493382456923,729.061671683855,586.767248456416,444.472825228982,343.746691228461,243.020557227955,586.767248457074,0,142.294423227439,343.31132610884,343.746691228461,100.726134000506,443.819777549211,870.703047232853,1012.9974704603,1197.29554803495,1197.29554803495,1766.2555583859,1866.76400982627,3064.27724042136,3206.5716636488,1113.94128702057
"F22",1415.46664134235,1314.95818990197,1356.74416168877,1256.23571024774,1256.23571024774,1113.9412870203,1113.9412870203,1072.15531523351,971.646863793135,971.646863793135,871.138412351832,770.62996091146,729.061671684527,545.198959229488,586.767248456421,444.472825228982,302.178402001548,201.452268001027,100.726134000521,444.47282522964,142.294423227439,0,201.016902881674,402.904536002039,243.020557227945,586.11420077665,870.920729792988,1013.21515302044,1197.51323059509,1197.51323059509,1766.47324094603,1866.98169238641,3064.49492298149,3206.78934620893,971.646863793135
"F21",1498.60321979686,1398.09476835649,1439.88074014329,1339.37228870226,1339.37228870226,1197.07786547482,1197.07786547482,1155.29189368802,1054.78344224765,1054.78344224765,954.27499080635,853.766539365979,812.198250139046,628.335537684007,669.903826910939,527.609403683501,385.314980456066,284.588846455546,242.802874668478,527.609403684159,343.31132610884,201.016902881674,0,544.981276670001,385.097297895907,787.131103658051,1012.99747046095,1155.2918936884,1339.58997126305,1339.58997126305,1908.549981614,2009.05843305437,3206.57166364945,3348.86608687689,1054.78344224765
"F26",1818.37117734438,1717.86272590401,1759.64869769081,1659.14024624978,1659.14024624978,1516.84582302234,1516.84582302234,1475.05985123555,1374.55139979517,1374.55139979517,1274.04294835387,1173.5344969135,1131.96620768657,948.103495231527,989.67178445846,847.377361231021,705.082938003587,604.356804003066,503.63067000256,847.377361231679,343.746691228461,402.904536002039,544.981276670001,0,243.020557227955,586.11420077666,644.836680431817,787.131103659266,971.429181233917,971.429181233917,1540.38919158486,1640.89764302523,2838.41087362032,2980.70529684776,1374.55139979517
"F25",1658.48719857029,1557.97874712991,1599.76471891671,1499.25626747568,1499.25626747568,1356.96184424824,1356.96184424824,1315.17587246145,1214.66742102108,1214.66742102108,1114.15896957977,1013.6505181394,972.082228912468,788.219516457429,829.787805684361,687.493382456923,545.198959229488,444.472825228967,343.746691228461,687.49338245758,100.726134000506,243.020557227945,385.097297895907,243.020557227955,0,402.033805762418,828.917075445786,971.211498673235,1155.50957624789,1155.50957624789,1724.46958659883,1824.9780380392,3022.49126863429,3164.78569186173,1214.66742102108
"F24",2001.58084211899,1901.07239067862,1942.85836246541,1842.34991102438,1842.34991102438,1700.05548779695,1700.05548779695,1658.26951601015,1557.76106456978,1557.76106456978,1457.25261312848,1356.74416168811,1315.17587246117,1131.31316000613,1172.88144923307,1030.58702600563,888.292602778193,787.566468777673,686.840334777166,1030.58702600629,443.819777549211,586.11420077665,787.131103658051,586.11420077666,402.033805762418,0,1230.9508812082,1373.24530443565,1557.5433820103,1557.5433820103,2126.50339236125,2227.01184380162,3424.52507439671,3566.81949762415,1557.76106456978
"F27",2286.38737113533,2185.87891969496,2227.66489148176,2127.15644004073,2127.15644004073,1984.86201681329,1984.86201681329,1943.07604502649,1842.56759358612,1842.56759358612,1742.05914214482,1641.55069070445,1599.98240147752,1416.11968902248,1457.68797824941,1315.39355502197,1173.09913179454,1072.37299779401,971.646863793509,1315.39355502263,870.703047232853,870.920729792988,1012.99747046095,644.836680431817,828.917075445786,1230.9508812082,0,142.294423227449,444.472825228982,444.472825228982,1013.43283557992,1113.9412870203,2311.45451761538,2453.74894084282,1842.56759358612
"F28",2428.68179436278,2328.17334292241,2369.95931470921,2269.45086326818,2269.45086326818,2127.15644004074,2127.15644004074,2085.37046825394,1984.86201681357,1984.86201681357,1884.35356537227,1783.8451139319,1742.27682470496,1558.41411224992,1599.98240147686,1457.68797824942,1315.39355502198,1214.66742102146,1113.94128702096,1457.68797825008,1012.9974704603,1013.21515302044,1155.2918936884,787.131103659266,971.211498673235,1373.24530443565,142.294423227449,0,302.178402001533,302.178402001533,871.138412352475,971.646863792846,2169.16009438793,2311.45451761537,1984.86201681357
"F29",2612.97987193743,2512.47142049706,2554.25739228386,2453.74894084283,2453.74894084283,2311.45451761539,2311.45451761539,2269.66854582859,2169.16009438822,2169.16009438822,2068.65164294692,1968.14319150655,1926.57490227962,1742.71218982458,1784.28047905151,1641.98605582407,1499.69163259664,1398.96549859611,1298.23936459561,1641.98605582473,1197.29554803495,1197.51323059509,1339.58997126305,971.429181233917,1155.50957624789,1557.5433820103,444.472825228982,302.178402001533,0,0,627.900172564385,728.408624004757,1925.92185459984,2068.21627782728,2169.16009438822
"F30",2612.97987193743,2512.47142049706,2554.25739228386,2453.74894084283,2453.74894084283,2311.45451761539,2311.45451761539,2269.66854582859,2169.16009438822,2169.16009438822,2068.65164294692,1968.14319150655,1926.57490227962,1742.71218982458,1784.28047905151,1641.98605582407,1499.69163259664,1398.96549859611,1298.23936459561,1641.98605582473,1197.29554803495,1197.51323059509,1339.58997126305,971.429181233917,1155.50957624789,1557.5433820103,444.472825228982,302.178402001533,0,0,627.900172564385,728.408624004757,1925.92185459984,2068.21627782728,2169.16009438822
"F31",3181.93988228838,3081.43143084801,3123.2174026348,3022.70895119377,3022.70895119377,2880.41452796633,2880.41452796633,2838.62855617954,2738.12010473917,2738.12010473917,2637.61165329787,2537.10320185749,2495.53491263056,2311.67220017552,2353.24048940245,2210.94606617502,2068.65164294758,1967.92550894706,1867.19937494655,2210.94606617567,1766.2555583859,1766.47324094603,1908.549981614,1540.38919158486,1724.46958659883,2126.50339236125,1013.43283557992,871.138412352475,627.900172564385,627.900172564385,0,100.508451440372,1298.02168203546,1440.3161052629,2738.12010473917
"F32",3282.44833372875,3181.93988228838,3223.72585407517,3123.21740263414,3123.21740263414,2980.92297940671,2980.92297940671,2939.13700761991,2838.62855617954,2838.62855617954,2738.12010473824,2637.61165329787,2596.04336407093,2412.18065161589,2453.74894084283,2311.45451761539,2169.16009438795,2068.43396038743,1967.70782638693,2311.45451761605,1866.76400982627,1866.98169238641,2009.05843305437,1640.89764302523,1824.9780380392,2227.01184380162,1113.9412870203,971.646863792846,728.408624004757,728.408624004757,100.508451440372,0,1197.51323059509,1339.80765382253,2838.62855617954
"F33",4479.96156432384,4379.45311288347,4421.23908467026,4320.73063322923,4320.73063322923,4178.43621000179,4178.43621000179,4136.650238215,4036.14178677463,4036.14178677463,3935.63333533332,3835.12488389295,3793.55659466602,3609.69388221098,3651.26217143791,3508.96774821047,3366.67332498304,3265.94719098252,3165.22105698201,3508.96774821113,3064.27724042136,3064.49492298149,3206.57166364945,2838.41087362032,3022.49126863429,3424.52507439671,2311.45451761538,2169.16009438793,1925.92185459984,1925.92185459984,1298.02168203546,1197.51323059509,0,142.294423227439,4036.14178677463
"F34",4622.25598755128,4521.74753611091,4563.5335078977,4463.02505645667,4463.02505645667,4320.73063322923,4320.73063322923,4278.94466144244,4178.43621000207,4178.43621000207,4077.92775856076,3977.41930712039,3935.85101789346,3751.98830543842,3793.55659466535,3651.26217143791,3508.96774821048,3408.24161420996,3307.51548020945,3651.26217143857,3206.5716636488,3206.78934620893,3348.86608687689,2980.70529684776,3164.78569186173,3566.81949762415,2453.74894084282,2311.45451761537,2068.21627782728,2068.21627782728,1440.3161052629,1339.80765382253,142.294423227439,0,4178.43621000207
"rel_fremur",443.819777549211,343.31132610884,385.097297895907,284.588846454877,284.588846454877,142.294423227439,142.294423227439,100.508451440372,0,0,100.508451441303,201.016902881674,301.525354322046,544.328228990524,443.819777550153,586.114200777592,728.40862400503,770.194595792108,870.920729792614,787.131103658993,1113.94128702057,971.646863793135,1054.78344224765,1374.55139979517,1214.66742102108,1557.76106456978,1842.56759358612,1984.86201681357,2169.16009438822,2169.16009438822,2738.12010473917,2838.62855617954,4036.14178677463,4178.43621000207,0
