"","Koog ad Zaan","Zaangemaal 1","Zaangemaal 2","Zaangemaal 3","Noordzeekanaal","Grote sluis NZK","Middensluis NZK","Kleine sluis NZK","Grote sluis Noordzee","Spuisluis Noordzee","Willem 2 sluis 2","Oranjesluis","ARK Noord","Kleine sluis Noordzee","bpns-Kilmore","Overtoom 1","Spuisluis NZK","Middensluis Noordzee","Kadoelen 5","Kadoelen 2","Kadoelen 3","Kadoelen 4","Kadoelen 1","De Poel","bpns-WK14","bpns-Whitley","Overtoom 3","Overtoom 2","bpns-O6","Spaarne gemaal","Spaarne sluis","Spaarndam","Cruquius","Zijkanaal C kom","Halfweg boezemzijde","Halfweg NZKzijde","Boezem Spaarne","Zwanenburg","bpns-WENDUINEBANKW","PC4C-C05-2","Katwijk 2","Katwijk 1","Katwijk 3","ws-W6","ws-W7","bpns-Trapegeer","bpns-W1","Vinkeveen gemaal","Vinkeveen sluis","ARK Zuid","Berlagerbrug","Loosdrecht2a sluis","Loosdracht 2b gemaal","Loosdrecht 1","Loosdrecht 3","Muiden","ws-DL12","ws-OGDL","ws-TRAWL","Lelystad","Enkhuizen","bpns-nieuwpoortbank","bpns-WK12","ws-STEEN","rel_noordzeekanaal10","rel_noordzeekanaal11","rel_noordzeekanaal5","rel_noordzeekanaal6","rel_noordzeekanaal12","rel_noordzeekanaal13","rel_noordzeekanaal2","rel_noordzeekanaal3","rel_noordzeekanaal7","rel_noordzeekanaal1","rel_noordzeekanaal8","rel_noordzeekanaal14","rel_noordzeekanaal15","rel_noordzeekanaal9","rel_noordzeekanaal4","rel_noordzeekanaal16","rel_noordzeekanaal17"
"Koog ad Zaan",0,2872.46461258946,2972.45332081361,3213.84706025976,21289.9133949159,22896.832393482,23613.9043782092,24172.4167800076,23755.3094094312,24320.9295343199,12083.8918448581,15424.9194270309,17953.0589618729,24530.9527723709,217072.872292746,9700.09997131416,23462.4525183707,24313.8218112296,13449.4160969633,12618.1439858875,12442.426830208,12825.2245938622,11394.0192264263,23405.1121627204,185504.667520182,227096.790569577,9900.07738776245,9841.50500253589,209443.004191078,18200.3258772995,17676.1230824225,17776.1107836328,27527.6854872273,17651.8603041176,14065.2864771638,13582.4989982708,17976.0871930671,17603.3569018238,205661.798209028,183267.503083471,59466.1519874978,59000.5205708332,61197.3214655785,175639.418590844,176580.733287861,230723.062062915,181803.876447636,33970.8331255885,33870.8444173643,39314.5885794864,16239.0546091494,33580.9190792235,33680.9077874477,35129.2702241273,32132.5556355299,26418.975764445,171706.755713879,172238.063714311,173895.24656288,53550.8357627808,58935.5667317807,226695.096939779,179678.793456846,177711.973537637,33739.4912498305,33912.2607403622,11548.4167373838,19458.7637682329,34570.754297779,33339.5253397767,13607.9776939217,11876.8067053193,15755.0391287396,17834.6821618451,59866.1063168874,1006.99128078453,1465.51849890768,59624.7130809482,12418.1665694385,26577.5333333465,49327.1288072111
"Zaangemaal 1",2872.46461258946,0,99.9887082241475,341.382447670301,18417.4487823264,20024.3677808925,20741.4397656197,21299.9521674182,20882.8447968417,21448.4649217304,9211.4272322686,12552.4548144414,15080.5943492835,21658.4881597814,214200.407680157,6827.6353587247,20589.9879057813,21441.3571986401,10576.9514843739,9745.67937329802,9569.96221761849,9952.75998127278,8521.55461383684,20532.6475501309,182632.202907593,224224.325956988,7027.61277517299,6969.04038994643,206570.539578489,15327.86126471,14803.6584698331,14903.6461710433,24655.2208746379,14779.3956915282,11192.8218645743,10710.0343856814,15103.6225804777,14730.8922892343,202789.333596439,180395.038470881,56593.6873749083,56128.0559582438,58324.856852989,172766.953978255,173708.268675272,227850.597450326,178931.411835046,31098.368512999,30998.3798047749,36442.1239668969,13366.58999656,30708.4544666341,30808.4431748582,32256.8056115378,29260.0910229405,23546.5111518555,168834.29110129,169365.599101721,171022.781950291,50678.3711501913,56063.1021191912,223822.63232719,176806.328844257,174839.508925047,30867.026637241,31039.7961277727,8675.95212479438,16586.2991556435,31698.2896851895,30467.0607271873,10735.5130813322,9004.34209272981,12882.5745161502,14962.2175492556,56993.6417042979,3796.62324737855,1406.94611368178,56752.2484683587,9545.70195684906,23705.068720757,46454.6641946216
"Zaangemaal 2",2972.45332081361,99.9887082241475,0,241.393739446154,18317.4600741023,19924.3790726684,20641.4510573956,21199.963459194,20782.8560886175,21348.4762135062,9111.43852404445,12452.4661062173,14980.6056410593,21558.4994515572,214100.418971933,6727.64665050055,20489.9991975571,21341.368490416,10476.9627761497,9645.69066507387,9469.97350939434,9852.77127304863,8421.5659056127,20432.6588419068,182532.214199369,224124.337248763,6927.62406694885,6869.05168172228,206470.550870265,15227.8725564859,14703.6697616089,14803.6574628192,24555.2321664137,14679.406983304,11092.8331563502,10610.0456774572,15003.6338722535,14630.9035810102,202689.344888215,180295.049762657,56493.6986666841,56028.0672500196,58224.8681447649,172666.965270031,173608.279967048,227750.608742102,178831.423126822,30998.3798047749,30898.3910965507,36342.1352586727,13266.6012883358,30608.4657584099,30708.4544666341,32156.8169033137,29160.1023147163,23446.5224436314,168734.302393066,169265.610393497,170922.793242067,50578.3824419672,55963.1134109671,223722.643618965,176706.340136033,174739.520216823,30767.0379290169,30939.8074195486,8575.96341657024,16486.3104474193,31598.3009769654,30367.0720189631,10635.5243731081,8904.35338450566,12782.585807926,14862.2288410314,56893.6529960738,3896.6119556027,1506.93482190593,56652.2597601346,9445.71324862492,23605.0800125329,46354.6754863975
"Zaangemaal 3",3213.84706025976,341.382447670301,241.393739446154,0,18076.0663346561,19682.9853332222,20400.0573179494,20958.5697197479,20541.4623491714,21107.0824740601,8870.0447845983,12211.0723667711,14739.2119016132,21317.1057121111,213859.025232486,6486.2529110544,20248.605458111,21099.9747509698,10235.5690367036,9404.29692562772,9228.57976994819,9611.37753360248,8180.17216616654,20191.2651024606,182290.820459922,223882.943509317,6686.23032750269,6627.65794227613,206229.157130818,14986.4788170397,14462.2760221628,14562.263723373,24313.8384269676,14438.0132438579,10851.439416904,10368.6519380111,14762.2401328074,14389.509841564,202447.951148769,180053.656023211,56252.304927238,55786.6735105735,57983.4744053187,172425.571530585,173366.886227601,227509.215002655,178590.029387376,30756.9860653287,30656.9973571046,36100.7415192266,13025.2075488897,30367.0720189638,30467.0607271879,31915.4231638675,28918.7085752702,23205.1287041852,168492.90865362,169024.216654051,170681.399502621,50336.988702521,55721.7196715209,223481.249879519,176464.946396587,174498.126477377,30525.6441895707,30698.4136801024,8334.56967712408,16244.9167079732,31356.9072375192,30125.678279517,10394.1306336619,8662.95964505951,12541.1920684799,14620.8351015853,56652.2592566276,4138.00569504885,1748.32856135208,56410.8660206884,9204.31950917876,23363.6862730867,46113.2817469513
"Noordzeekanaal",21289.9133949159,18417.4487823264,18317.4600741023,18076.0663346561,0,1606.91899856613,2323.99098329328,2882.50338509173,2465.39601451525,3031.01613940402,22552.5002666347,25893.5278488075,28421.6673836495,3241.03937745495,195782.95889783,11955.458146071,2172.53912345489,3023.9084163137,23918.0245187399,23086.7524076641,22911.0352519846,23293.8330156388,21862.6276482029,33873.720584497,164214.754125266,205806.877174661,12155.4355625193,12014.0305312975,188153.090796162,8883.03827134796,8475.97923991018,8458.82317768128,18307.4459734524,8158.85705300818,14769.3569190268,14286.5694401338,8541.655823677,18307.4273436868,184371.884814113,161977.589688555,38176.2385925818,37710.6071759173,39907.4080706626,154349.505195929,155290.819892945,209433.148667999,160513.96305272,44439.4415473651,44339.4528391409,49783.1970012629,26707.663030926,44049.5275010001,44149.5162092243,45597.8786459039,42601.1640573065,36887.5841862216,150416.842318964,150948.150319395,152605.333167964,64019.4441845574,69404.1751535572,205405.183544863,158388.880061931,156422.060142721,44208.0996716071,44380.8691621388,13803.7749121407,10258.6199257206,45039.3627195556,43808.1337615533,24076.5861156983,22345.4151270959,16459.1095706026,3455.23123307084,38576.1929219715,22214.072029705,19824.3948960082,38334.7996860323,22886.7749912151,37046.1417551231,59795.7372289877
"Grote sluis NZK",22896.832393482,20024.3677808925,19924.3790726684,19682.9853332222,1606.91899856613,0,882.739290747776,1524.0853455558,941.31066896011,1424.09714083789,24159.4192652007,27500.4468473736,30028.5863822156,1965.45499092997,194507.374511305,13562.377144637,565.620124888765,1582.65672376817,25524.943517306,24693.6714062301,24517.9542505506,24900.7520142049,23469.546646769,35480.6395830631,162939.169738741,204531.292788136,13762.3545610853,13620.9495298636,186877.506409637,10489.957269914,10082.8982384762,10065.7421762473,19914.3649720184,9765.77605157424,16376.2759175929,15893.4884386999,10148.5748222431,19914.3463422528,183096.300427587,160702.00530203,36900.6542060568,36435.0227893923,38631.8236841376,153073.920809403,154015.23550642,208157.564281474,159238.378666195,46046.3605459311,45946.371837707,51390.115999829,28314.5820294921,45656.4464995662,45756.4352077903,47204.7976444699,44208.0830558726,38494.5031847877,149141.257932438,149672.56593287,151329.748781439,65626.3631831234,71011.0941521233,204129.599158338,157113.295675406,155146.475756196,45815.0186701732,45987.7881607048,15410.6939107067,11865.5389242867,46646.2817181216,45415.0527601194,25683.5051142644,23952.3341256619,18066.0285691687,5062.1502316369,37300.6085354465,23820.9910282711,21431.3138945743,37059.2152995073,24493.6939897812,38653.0607536892,61402.6562275537
"Middensluis NZK",23613.9043782092,20741.4397656197,20641.4510573956,20400.0573179494,2323.99098329328,882.739290747776,0,641.346054808057,141.405031222006,707.025156110771,24876.4912499279,28217.5188321008,30745.6583669428,1082.7157001822,193624.635220557,14279.4491293642,765.597541337636,699.917433020426,26242.0155020332,25410.7433909574,25235.0262352778,25617.8239989321,24186.6186314962,36197.7115677903,162056.430447994,203648.553497388,14479.4265458125,14338.0215145908,185994.76711889,11207.0292546412,10799.9702232035,10782.8141609746,20631.4369567456,10482.8480363015,17093.3479023201,16610.5604234271,10865.6468069703,20631.4183269801,182213.56113684,159819.266011282,36017.9149153091,35552.2834986446,37749.0843933898,152191.181518656,153132.496215673,207274.824990726,158355.639375447,46763.4325306584,46663.4438224342,52107.1879845562,29031.6540142193,46373.5184842934,46473.5071925176,47921.8696291972,44925.1550405998,39211.5751695149,148258.518641691,148789.826642122,150447.009490692,66343.4351678507,71728.1661368505,203246.85986759,156230.556384658,154263.736465448,46532.0906549004,46704.8601454321,16127.7658954339,12582.6109090139,47363.3537028488,46132.1247448466,26400.5770989916,24669.4061103892,18783.1005538959,5779.22221636412,36417.8692446987,24538.0630129983,22148.3858793015,36176.4760087595,25210.7659745084,39370.1327384164,62119.7282122809
"Kleine sluis NZK",24172.4167800076,21299.9521674182,21199.963459194,20958.5697197479,2882.50338509173,1524.0853455558,641.346054808057,0,582.774676595688,641.348572343485,25435.0036517264,28776.0312338992,31304.1707687413,441.369645374176,192983.289165749,14837.9615311627,1289.79983270704,141.405031222006,26800.5279038317,25969.2557927558,25793.5386370763,26176.3364007306,24745.1310332946,36756.2239695888,161415.084393185,203007.20744258,15037.938947611,14896.5339163893,185353.421064081,11765.5416564397,11358.4826250019,11341.326562773,21189.9493585441,11041.3604380999,17651.8603041185,17169.0728252256,11424.1592087687,21189.9307287785,181572.215082032,159177.919956474,35376.568860501,34910.9374438365,37107.7383385818,151549.835463848,152491.150160864,206633.478935918,157714.293320639,47321.9449324568,47221.9562242327,52665.7003863546,29590.1664160178,46932.0308860919,47032.019594316,48480.3820309956,45483.6674423983,39770.0875713133,147617.172586883,148148.480587314,149805.663435884,66901.9475696491,72286.678538649,202605.513812782,155589.21032985,153622.39041064,47090.6030566988,47263.3725472305,16686.2782972324,13141.1233108123,47921.8661046473,46690.6371466451,26959.08950079,25227.9185121876,19341.6129556944,6337.73461816257,35776.5231898907,25096.5754147967,22706.8982811,35535.1299539515,25769.2783763069,39928.6451402149,62678.2406140794
"Grote sluis Noordzee",23755.3094094312,20882.8447968417,20782.8560886175,20541.4623491714,2465.39601451525,941.31066896011,141.405031222006,582.774676595688,0,565.620124888765,25017.8962811499,28358.9238633227,30887.0633981648,1024.14432196986,193566.063842345,14420.8541605862,707.025156111347,641.346054808057,26383.4205332552,25552.1484221793,25376.4312664998,25759.2290301541,24328.0236627182,36339.1165990123,161997.859069781,203589.982119176,14620.8315770345,14479.4265458128,185936.195740677,11348.4342858632,10941.3752544254,10924.2191921965,20772.8419879676,10624.2530675234,17234.7529335421,16751.9654546491,11007.0518381923,20772.823358202,182154.989758627,159760.69463307,35959.3435370967,35493.7121204322,37690.5130151774,152132.610140443,153073.92483746,207216.253612514,158297.067997234,46904.8375618803,46804.8488536562,52248.5930157781,29173.0590454413,46514.9235155154,46614.9122237395,48063.2746604191,45066.5600718218,39352.9802007369,148199.947263478,148731.25526391,150388.438112479,66484.8401990726,71869.5711680725,203188.288489378,156171.985006445,154205.165087236,46673.4956861223,46846.265176654,16269.1709266559,12724.0159402358,47504.7587340708,46273.5297760686,26541.9821302135,24810.8111416111,18924.5055851179,5920.62724758609,36359.2978664863,24679.4680442203,22289.7909105235,36117.9046305472,25352.1710057304,39511.5377696384,62261.1332435029
"Spuisluis Noordzee",24320.9295343199,21448.4649217304,21348.4762135062,21107.0824740601,3031.01613940402,1424.09714083789,707.025156110771,641.348572343485,565.620124888765,0,25583.5164060386,28924.5439882114,31452.6835230535,907.002572559725,193331.778329496,14986.4742854749,941.31066896011,582.776187117196,26949.0406581439,26117.768547068,25942.0513913885,26324.8491550428,24893.6437876069,36904.736723901,161763.573556932,203355.696606327,15186.4517019232,15045.0466707015,185701.910227828,11914.0544107519,11506.9953793141,11489.8393170852,21338.4621128563,11189.8731924121,17800.3730584308,17317.5855795378,11572.6719630809,21338.4434830907,181920.704245779,159526.409120221,35725.058024248,35259.4266075834,37456.2275023287,151898.324627595,152839.639324611,206981.968099665,158062.782484386,47470.457686769,47370.4689785449,52814.2131406668,29738.67917033,47080.5436404041,47180.5323486282,48628.8947853078,45632.1801967105,39918.6003256255,147965.66175063,148496.969751061,150154.15259963,67050.4603239613,72435.1912929612,202954.002976529,155937.699493597,153970.879574387,47239.115811011,47411.8853015427,16834.7910515446,13289.6360651245,48070.3788589595,46839.1499009573,27107.6022551022,25376.4312664998,19490.1257100066,6486.24737247479,36125.0123536376,25245.088169109,22855.4110354122,35883.6191176984,25917.7911306191,40077.1578945271,62826.7533683916
