"","s-2","s-Wetteren","s-Wichelen","s-2a","s-3","s-Dendermonde","s-4b","s-4c","s-6","s-8","s-9","s-12","s-7","s-5","ak-41","s-Vlassenbroek","s-4a","s-9a","s-8a","s-11","s-4","s-10a","ak-45","ws-53A","ws-53","ws-42A","ws-18","ws-25B","ws-16","ws-14","ws-12A","ws-6","ws-4","ws-PVTSS","ws-DL9","ws-DL7","ws-55","ws-2C","ws-TRAWL","ws-F42","ws-HW6","ws-11","s-1","ws-OGDL","ws-OG10","ws-SP3","ws-25A","ws-25","ws-23","ws-A5","ws-PPC","ws-A3","ws-A1","ws-15A","ws-15","ws-W6","ak-47","ws-WN2","bpns-WENDUINEBANKW","bpns-Whitley","me-7-2","M-6","ws-13","ws-W7","bpns-W1","bpns-Trapegeer","du-Hamveer","bpns-WK12","ws-FZ2","bpns-S4","bpns-A1BIS","bpns-S7","bpns-O6","M-4","M-4A","M-3","M-2","M-1","M-5","s-Dendermonde2","bpns-KB2","bpns-middelkerkebank","bpns-nieuwpoortbank","PC4C-B08-1","ws-borssele","PC4C-C05-2","PC4C-C05-9","ws-GVWSP","bpns-Cpowerreefballs-CPOD","rel_schelde1","rel_dijle","rel_schelde2","rel_schelde3","rel_schelde4","rel_schelde5"
"s-2",0,6420.9066544901,12252.709633559,15256.9997749498,22086.7231278525,25919.1756859568,32929.1860158693,32752.4087121567,39571.6030451717,47406.266118501,52811.7040326764,70774.7014325792,41162.136767723,35164.0855048299,60462.5704557009,29924.8958744778,30926.3259216081,53809.6244065111,47406.266118501,70362.3750608707,24505.4192671181,60462.5704557009,67531.3525498961,94919.5467456801,94919.5467456801,95331.8731173893,112002.629311178,113416.385730018,113004.059358309,113593.16303373,114594.593080861,117363.334154255,117775.660525964,117775.660525964,135683.395834879,137097.152253718,94507.2203739716,117598.883222251,136449.276814013,95744.1994890978,95744.1994890978,118600.313269381,1413.75641883946,134681.965787749,135094.292159458,137686.25592914,114005.489405439,114005.489405439,115006.919452569,115596.023127991,117009.77954683,116597.453175121,117186.556850542,116774.230478834,117363.334154255,136626.054117726,75764.3033017499,136036.950442305,182043.498835151,203249.845117737,51235.2090033095,58480.7684012178,118187.986897673,136213.727746017,147052.680960738,209670.751772228,38993.0283896383,162722.007107397,94330.4430702591,164666.095437373,172323.981206991,155653.225013202,181100.840552304,63134.3640294439,63134.3640294439,64135.7940765742,64135.7940765742,65549.5504954129,61720.6076106045,25919.1756859568,190762.048427044,192234.576610167,206430.912562841,193824.648321856,119424.966012799,193235.544646435,193235.544646435,136861.603185722,176093.690316653,43577.3232336926,63134.3640294439,26920.6057330871,15256.9997749498,31515.4295970299,0
"s-Wetteren",6420.9066544901,0,5831.8029790689,8836.09312045966,15665.8164733624,19498.2690314667,26508.2793613792,26331.5020576666,33150.6963906816,40985.3594640109,46390.7973781863,64353.7947780891,34741.2301132329,28743.1788503398,54041.6638012108,23503.9892199877,24505.419267118,47388.717752021,40985.3594640109,63941.4684063806,18084.512612628,54041.6638012108,61110.445895406,88498.64009119,88498.64009119,88910.9664628992,105581.722656688,106995.479075528,106583.152703819,107172.25637924,108173.686426371,110942.427499765,111354.753871473,111354.753871473,129262.489180389,130676.245599228,88086.3137194815,111177.976567761,130028.370159523,89323.2928346077,89323.2928346077,112179.406614891,5831.80297906894,128261.059133259,128673.385504968,131265.34927465,107584.582750949,107584.582750949,108586.012798079,109175.116473501,110588.87289234,110176.546520631,110765.650196052,110353.323824344,110942.427499765,130205.147463236,69343.3966472598,129616.043787815,175622.592180661,196828.938463247,44814.3023488194,52059.8617467277,111767.080243183,129792.821091527,140631.774306247,203249.845117738,32572.1217351482,156301.100452906,87909.536415769,158245.188782883,165903.074552501,149232.318358711,174679.933897814,56713.4573749538,56713.4573749538,57714.8874220841,57714.8874220841,59128.6438409228,55299.7009561144,19498.2690314667,184341.141772554,185813.669955677,200010.005908351,187403.741667366,113004.059358309,186814.637991944,186814.637991944,130440.696531232,169672.783662163,37156.4165792025,56713.4573749538,20499.699078597,8836.09312045966,25094.5229425398,6420.9066544901
"s-Wichelen",12252.709633559,5831.8029790689,0,3004.29014139075,10658.6662377117,14491.118795816,21501.1291257285,21324.3518220159,28143.5461550309,35978.2092283603,41383.6471425356,59346.6445424385,29734.0798775822,23736.0286146891,49034.5135655601,18496.8389843371,19498.2690314673,42381.5675163703,35978.2092283603,58934.31817073,13077.3623769773,49034.5135655601,56103.2956597553,83491.4898555394,83491.4898555394,83903.8162272485,100574.572421038,101988.328839877,101576.002468168,102165.10614359,103166.53619072,105935.277264114,106347.603635823,106347.603635823,124255.338944739,125669.095363577,83079.1634838309,106170.82633211,125021.219923872,84316.1425989571,84316.1425989571,107172.25637924,11663.6059581378,123253.908897608,123666.235269317,126258.199038999,102577.432515298,102577.432515298,103578.862562428,104167.96623785,105581.722656689,105169.396284981,105758.499960402,105346.173588693,105935.277264114,125197.997227585,64336.2464116091,124608.893552164,170615.441945011,191821.788227597,39807.1521131688,47052.711511077,106759.930007532,124785.670855877,135624.624070597,198242.694882087,27564.9714994976,151293.950217256,82902.3861801183,153238.038547232,160895.92431685,144225.168123061,169672.783662164,51706.3071393032,51706.3071393032,52707.7371864334,52707.7371864334,54121.4936052721,50292.5507204637,14491.118795816,179333.991536903,180806.519720026,195002.8556727,182396.591431716,107996.909122658,181807.487756294,181807.487756294,125433.546295582,164665.633426512,32149.2663435519,51706.3071393032,15492.5488429463,3004.29014139075,20087.3727068892,12252.709633559
"s-2a",15256.9997749498,8836.09312045966,3004.29014139075,0,7654.37609632097,11486.8286544253,18496.8389843378,18320.0616806252,25139.2560136402,32973.9190869696,38379.3570011449,56342.3544010477,26729.7897361915,20731.7384732984,46030.2234241694,15492.5488429463,16493.9788900766,39377.2773749796,32973.9190869696,55930.0280293392,10073.0722355866,46030.2234241694,53099.0055183646,80487.1997141486,80487.1997141486,80899.5260858578,97570.2822796469,98984.0386984863,98571.7123267772,99160.816002199,100162.246049329,102930.987122724,103343.313494432,103343.313494432,121251.048803348,122664.805222187,80074.8733424401,103166.536190719,122016.929782482,81311.8524575663,81311.8524575663,104167.96623785,14667.8960995286,120249.618756218,120661.945127926,123253.908897608,99573.1423739075,99573.1423739075,100574.572421038,101163.67609646,102577.432515298,102165.10614359,102754.209819011,102341.883447302,102930.987122724,122193.707086194,61331.9562702184,121604.603410773,167611.15180362,188817.498086206,36802.861971778,44048.4213696863,103755.639866141,121781.380714486,132620.333929206,195238.404740697,24560.6813581068,148289.660075865,79898.0960387276,150233.748405842,157891.634175459,141220.87798167,166668.493520773,48702.0169979124,48702.0169979124,49703.4470450427,49703.4470450427,51117.2034638814,47288.260579073,11486.8286544253,176329.701395512,177802.229578635,191998.565531309,179392.301290325,104992.618981267,178803.197614903,178803.197614903,122429.256154191,161661.343285121,29144.9762021612,48702.0169979124,12488.2587015556,0,17083.0825654984,15256.9997749498
"s-3",22086.7231278525,15665.8164733624,10658.6662377117,7654.37609632097,0,4418.04656022956,11428.056890142,11251.2795864295,18070.4739194445,25905.1369927738,31310.5749069492,49273.572306852,19661.0076419958,13662.9563791027,38961.4413299737,8423.76674875064,9425.19679588085,32308.4952807839,25905.1369927738,48861.2459351435,3004.29014139087,38961.4413299737,46030.2234241689,73418.4176199529,73418.4176199529,73830.7439916621,90501.5001854512,91915.2566042906,91502.9302325814,92092.0339080033,93093.4639551335,95862.2050285279,96274.5314002363,96274.5314002363,114182.266709152,115596.023127991,73006.0912482444,96097.7540965237,114948.147688286,74243.0703633706,74243.0703633706,97099.1841436539,21497.6194524313,113180.836662022,113593.16303373,116185.126803413,92504.3602797118,92504.3602797118,93505.790326842,94094.8940022638,95508.6504211025,95096.3240493941,95685.4277248153,95273.1013531068,95862.2050285279,115124.924991999,54263.1741760227,114535.821316577,160542.369709424,181748.71599201,29734.0798775823,36979.6392754906,96686.8577719455,114712.59862029,125551.55183501,188169.622646501,17491.8992639111,141220.877981669,72829.3139445319,143164.966311646,150822.852081263,134152.095887474,159599.711426577,41633.2349037167,41633.2349037167,42634.664950847,42634.664950847,44048.4213696857,40219.4784848773,4418.04656022956,169260.919301317,170733.447484439,184929.783437114,172323.519196129,97923.8368870716,171734.415520707,171734.415520707,115360.474059995,154592.561190926,22076.1941079654,41633.2349037167,5419.47660735989,7654.37609632097,10014.3004713027,22086.7231278525
"s-Dendermonde",25919.1756859568,19498.2690314667,14491.118795816,11486.8286544253,4418.04656022956,0,7834.66307332944,7657.88576961687,14477.0801026319,22311.7431759612,27717.1810901366,45680.1784900394,16067.6138251832,10069.5625622901,35368.0475131611,4830.37293193803,5831.80297906824,28715.1014639712,22311.7431759612,45267.8521183309,1413.75641883872,35368.0475131611,42436.8296073563,69825.0238031403,69825.0238031403,70237.3501748495,86908.1063686386,88321.862787478,87909.5364157688,88498.6400911907,89500.0701383209,92268.8112117152,92681.1375834237,92681.1375834237,110588.87289234,112002.629311178,69412.6974314318,92504.3602797111,111354.753871473,70649.676546558,70649.676546558,93505.7903268413,25330.0720105356,109587.442845209,109999.769216918,112591.7329866,88910.9664628992,88910.9664628992,89912.3965100294,90501.5001854512,91915.2566042899,91502.9302325814,92092.0339080026,91679.7075362942,92268.8112117152,111531.531175186,50669.7803592101,110942.427499765,156948.975892612,178155.322175197,26140.6860607697,33386.245458678,93093.4639551329,111119.204803478,121958.158018198,184576.228829688,13898.5054470985,137627.484164857,69235.9201277193,139571.572494833,147229.458264451,130558.702070662,156006.317609764,38039.8410869041,38039.8410869041,39041.2711340344,39041.2711340344,40455.0275528731,36626.0846680647,0,165667.525484504,167140.053667627,181336.389620301,168730.125379317,94330.443070259,168141.021703895,168141.021703895,111767.080243182,150999.167374113,18482.8002911528,38039.8410869041,1001.43004713033,11486.8286544253,6420.9066544901,25919.1756859568
"s-4b",32929.1860158693,26508.2793613792,21501.1291257285,18496.8389843378,11428.056890142,7834.66307332944,0,2411.67679267312,9230.87112568812,17065.5341990175,22470.9721131928,40433.9695130957,10821.4048482394,4823.35358534632,30121.8385362173,3828.9428848084,2827.51283767818,23468.8924870275,17065.5341990175,40021.6431413871,8423.76674875118,30121.8385362173,37190.6206304125,64578.8148261966,64578.8148261966,64991.1411979057,81661.8973916949,83075.6538105343,82663.3274388251,83252.4311142469,84253.8611613771,87022.6022347715,87434.92860648,87434.92860648,105342.663915396,106756.420334235,64166.4884544881,87258.1513027674,106108.54489453,65403.4675696143,65403.4675696143,88259.5813498976,32340.0823404481,104341.233868266,104753.560239974,107345.524009656,83664.7574859554,83664.7574859554,84666.1875330856,85255.2912085075,86669.0476273462,86256.7212556377,86845.8249310589,86433.4985593504,87022.6022347715,106285.322198242,45423.5713822663,105696.218522821,151702.766915668,172909.113198254,20894.477083826,28140.0364817342,87847.2549781891,105872.995826534,116711.949041254,179330.019852745,8652.29647015475,132381.275187913,63989.7111507755,134325.36351789,141983.249287507,125312.493093718,150760.108632821,32793.6321099604,32793.6321099604,33795.0621570906,33795.0621570906,35208.8185759293,31379.8756911209,7834.66307332944,160421.31650756,161893.844690683,176090.180643357,163483.916402373,89084.2340933152,162894.812726951,162894.812726951,106520.871266239,145752.958397169,13236.5913142091,32793.6321099604,6833.23302619915,18496.8389843378,1413.75641883938,32929.1860158692
"s-4c",32752.4087121567,26331.5020576666,21324.3518220159,18320.0616806252,11251.2795864295,7657.88576961687,2411.67679267312,0,6819.194333015,14653.8574063444,20059.2953205197,38022.2927204225,8409.72805556629,2411.6767926732,27710.1617435442,4823.35358534659,4407.51754034161,21057.2156943544,14653.8574063444,37609.966348714,8246.98944503861,27710.1617435442,34778.9438377394,62167.1380335235,62167.1380335235,62579.4644052326,79250.2205990218,80663.9770178612,80251.650646152,80840.7543215738,81842.184368704,84610.9254420984,85023.2518138069,85023.2518138069,102930.987122723,104344.743541561,61754.8116618149,84846.4745100943,103696.868101856,62991.7907769411,62991.7907769411,85847.9045572245,32163.3050367355,101929.557075592,102341.883447301,104933.847216983,81253.0806932823,81253.0806932823,82254.5107404125,82843.6144158344,84257.3708346731,83845.0444629646,84434.1481383858,84021.8217666773,84610.9254420984,103873.645405569,43011.8945895932,103284.541730148,149291.090122995,170497.436405581,18482.8002911528,25728.3596890611,85435.578185516,103461.319033861,114300.272248581,176918.343060071,6240.61967748163,129969.59839524,61578.0343581024,131913.686725216,139571.572494834,122900.816301045,148348.431840148,30381.9553172873,30381.9553172873,31383.3853644175,31383.3853644175,32797.1417832562,28968.1988984478,7657.88576961687,158009.639714887,159482.16789801,173678.503850684,161072.2396097,86672.5573006421,160483.135934278,160483.135934278,104109.194473566,143341.281604496,10824.914521536,30381.9553172873,6656.45572248658,18320.0616806252,2993.76112150308,32752.4087121567
"s-6",39571.6030451717,33150.6963906816,28143.5461550309,25139.2560136402,18070.4739194445,14477.0801026319,9230.87112568812,6819.194333015,0,7834.66307332936,13240.1009875047,31203.0983874075,2415.18646596959,5239.18963035138,20890.9674105292,11642.5479183616,11226.7118733566,14238.0213613394,7834.66307332936,30790.772015699,15066.1837780536,20890.9674105292,27959.7495047244,55347.9437005085,55347.9437005085,55760.2700722176,72431.0262660068,73844.7826848462,73432.456313137,74021.5599885588,75022.990035689,77791.7311090834,78204.0574807919,78204.0574807919,96111.7927897077,97525.5492085465,54935.6173287999,78027.2801770793,96877.6737688415,56172.5964439261,56172.5964439261,79028.7102242095,38982.4993697505,95110.3627425775,95522.6891142859,98114.6528839682,74433.8863602673,74433.8863602673,75435.3164073975,76024.4200828194,77438.1765016581,77025.8501299496,77614.9538053708,77202.6274336623,77791.7311090834,97054.4510725542,36192.7002565782,96465.347397133,142471.89578998,163678.242072566,11663.6059581378,18909.1653560461,78616.383852501,96642.1247008457,107481.077915566,170099.148727056,6833.23302619923,123150.404062225,54758.8400250874,125094.492392201,132752.378161819,116081.62196803,141529.237507133,23562.7609842723,23562.7609842723,24564.1910314025,24564.1910314025,25977.9474502412,22149.0045654328,14477.0801026319,151190.445381872,152662.973564995,166859.309517669,154253.045276685,79853.3629676271,153663.941601263,153663.941601263,97290.0001405506,136522.087271481,4005.72018852097,23562.7609842723,13475.6500555016,25139.2560136402,9812.95545451808,39571.6030451717
"s-8",47406.266118501,40985.3594640109,35978.2092283603,32973.9190869696,25905.1369927738,22311.7431759612,17065.5341990175,14653.8574063444,7834.66307332936,0,5405.43791417535,23368.4353140782,6244.12935077807,13073.8527036807,13056.3043371998,19477.210991691,19061.374946686,6403.35828801002,0,22956.1089423697,22900.846851383,13056.3043371998,20125.086431395,47513.2806271791,47513.2806271791,47925.6069988883,64596.3631926774,66010.1196115168,65597.7932398076,66186.8969152295,67188.3269623597,69957.068035754,70369.3944074625,70369.3944074625,88277.1297163783,89690.8861352171,47100.9542554706,70192.6171037499,89043.0106955121,48337.9333705968,48337.9333705968,71194.0471508801,46817.1624430799,87275.6996692481,87688.0260409566,90279.9898106389,66599.223286938,66599.223286938,67600.6533340682,68189.75700949,69603.5134283287,69191.1870566202,69780.2907320414,69367.964360333,69957.068035754,89219.7879992248,28358.0371832488,88630.6843238036,134637.23271665,155843.578999236,8066.70246802948,15312.2618659378,70781.7207791716,88807.4616275164,99646.4148422366,162264.485653727,14667.8960995286,115315.740988895,46924.176951758,117259.829318872,124917.71508849,108246.9588947,133694.574433803,19965.8574941639,19965.8574941639,20967.2875412941,20967.2875412941,22381.0439601329,18552.1010753245,22311.7431759612,143355.782308543,144828.310491665,159024.64644434,146418.382203355,72018.6998942978,145829.278527933,145829.278527933,89455.3370672212,128687.424198152,3828.9428848084,19965.8574941639,21310.3131288309,32973.9190869696,17647.6185278474,47406.266118501
